model_name,category,orig_rows,orig_cols,orig_nnz,mode,final_rows,final_cols,final_nnz,iterations,converged,diverged,primal_res,dual_res,recovered_obj,prep_ms,solver_ms,total_ms
AFIRO,Easy_Baseline,27,32,83,RAW,27,32,83,500,0,0,4.90328e-07,0.898238,-72.3463,0.05247,0.15069,0.20316
AFIRO,Easy_Baseline,27,32,83,PRESOLVE_ONLY,21,29,72,500,0,0,1.64676e-05,0.0325485,-253.257,0.225187,0.114611,0.339798
AFIRO,Easy_Baseline,27,32,83,SCALING_ONLY,27,32,83,500,0,0,1.21609e-06,0.898196,-73.0882,0.078557,0.125404,0.203961
AFIRO,Easy_Baseline,27,32,83,PRESOLVE_AND_SCALING,21,29,72,500,0,0,1.53644e-05,0.0322299,-249.473,0.13805,0.094851,0.232901
BEACONFD,Large_Sparse,173,262,3375,RAW,173,262,3375,500,0,0,0.436888,133.507,38705.2,0.370365,4.75642,5.12678
BEACONFD,Large_Sparse,173,262,3375,PRESOLVE_ONLY,86,147,1364,500,0,0,1.91306e-06,0.319017,33899,0.902919,0.764447,1.66737
BEACONFD,Large_Sparse,173,262,3375,SCALING_ONLY,173,262,3375,500,0,0,0.0324787,69.8517,33509,0.720548,2.07256,2.79311
BEACONFD,Large_Sparse,173,262,3375,PRESOLVE_AND_SCALING,86,147,1364,500,0,0,1.57777e-05,0.82678,33903.3,1.36452,0.848524,2.21305
ill_conditioned_1e12,Ill_Conditioned,150,150,299,RAW,150,150,299,500,0,0,0.691404,188931,5371.23,0.074093,0.496004,0.570097
ill_conditioned_1e12,Ill_Conditioned,150,150,299,PRESOLVE_ONLY,0,0,0,0,1,0,0,0,0,0.069216,0,0.069216
ill_conditioned_1e12,Ill_Conditioned,150,150,299,SCALING_ONLY,150,150,299,500,0,0,0.99837,483.681,5371.23,0.113332,0.352534,0.465866
ill_conditioned_1e12,Ill_Conditioned,150,150,299,PRESOLVE_AND_SCALING,0,0,0,0,1,0,0,0,0,0.034281,0,0.034281
degenerate_cascaded,Degenerate,150,150,280,RAW,150,150,280,500,0,0,0.0321351,0.860675,40,0.026206,0.25224,0.278446
degenerate_cascaded,Degenerate,150,150,280,PRESOLVE_ONLY,139,130,278,500,0,0,3.18161e-08,0.919366,42,1.10222,0.238661,1.34088
degenerate_cascaded,Degenerate,150,150,280,SCALING_ONLY,150,150,280,500,0,0,0.0312026,0.784435,40,0.080595,0.269281,0.349876
degenerate_cascaded,Degenerate,150,150,280,PRESOLVE_AND_SCALING,139,130,278,500,0,0,3.19171e-08,0.890645,42,1.33947,0.254806,1.59427
irregular_hub_extreme,Irregular_Hub,250,250,2500,RAW,250,250,2500,500,0,0,5.55808,0.942958,903.184,0.24448,2.17294,2.41742
irregular_hub_extreme,Irregular_Hub,250,250,2500,PRESOLVE_ONLY,175,150,1364,500,0,0,0.714412,0.924809,41.7597,3.94593,1.54941,5.49533
irregular_hub_extreme,Irregular_Hub,250,250,2500,SCALING_ONLY,250,250,2500,500,0,0,1.19754,0.850579,860.53,1.39791,2.16805,3.56596
irregular_hub_extreme,Irregular_Hub,250,250,2500,PRESOLVE_AND_SCALING,175,150,1364,500,0,0,0.44412,0.824016,28.774,4.38086,0.781866,5.16273
